# code	candidate1	candidate2	...
# Generated by: make update-sucheng-snapshot
# Locks Quick Classic Sucheng first-page ordering for alphabetic one/two-key codes.
a	日	曰
b	月
c	金
d	木
e	水
f	火
g	土
h	竹
i	戈
j	十
k	大	乂
l	中
m	一
n	弓
o	人
p	心
q	手
r	口
s	尸
t	廿
u	山
v	女
w	田
y	卜
ms	丐	功	巧	勁	砟	雩	磅	勵	霧
mt	弄	豆	盂	珊	盃	研	磕	磴	醞
mu	兀	元	厄	玩	琉	砲	配	現	硫
mv	辰	耍	要	琅	裂	碣	碾	震	霎
mw	西	瑙	雷	霤	硒	璠	璫	磻	礌
mx	霽	璾	璛	瑫
my	下	雨	霉	霏	玬	砃	厞	珘	琲
na	陌	階	魯	鯧	鰭	陼	矠	觰	鮨
nb	胥	隋	隅	隔	隨	孺	彌	鮪	鯖
nc	小	負	隕	預	夤	隒	彉	隤	頠
nd	子	孕	弛	柔	桀	除	穌	孖	阤
ne	及	阪	函	陂	陵	陬	發	鰥	觼
nf	灸	孫	魚	煞	隙	際	燄	鴛	鯀
ng	丑	廷	角	陛	陞	陸	隍	墜	墮
nh	矛	陽	觴	陟	魛	魦	魵	鮅	鯓
ni	夕	弘	多	兔	弦	虱	附	強	蛋
nj	阡	弭	陣	斛	陴	障	彈	鰱	阠
nk	又	孜	奐	癸	鮫	觖	陾	隞	敶
nl	弔	引	鄧	鯽	觓	陑	郔	鄈	觫
nm	孑	丞	延	阻	弱	陘	隆	陲	彊
nn	了	予	阬	矜	弼	粥	凳	阣	陊
no	久	孓	欠	疋	孤	弧	承	孩	飛
np	陀	急	怨	恿	隱	隴	鰓	阰	愻
nq	舛	甬	建	降	解	鮮	鱗	丮	觲
nr	名	阿	夠	陪	詹	鯛	鱔	鱷	弨
ns	乃	防	勇	勉	觔	務	阞	阼	陓
nt	阱	孟	盈	登	隘	鱸	盄	隑	孻
nu	乙	孔	危	色	免	阮	院	疏	陶
nv	限	陋	張	飧	妴	婺	隇	隈	彋
nw	陳	鯔	鰡	鱕	廸	鰌	乪	䲤	鮋
nx	陷	卍	隮	鱐	鱭	䧟
ny	外	陫	鯡	鮗
oa	伯	佰	借	倡	偺	偕	智	會	僧
ob	內	佈	佩	佾	侑	俑	俏	倩	倆
oc	兵	供	俱	偵	貨	貪	貸	債	傾
od	仔	他	休	余	侏	保	俘	氣	條
oe	伋	侵	俊	隻	假	氯	飯	傻	優
of	伙	你	係	偽	氮	焦	無	絛	僚
og	仕	任	全	住	坐	佳	佺	隹	俚
oh	入	乒	份	氛	修	傷	僇	伢	佖
oi	付	令	仞	乓	伐	伶	每	侍	俄
oj	什	午	仟	倖	俾	斜	傘	餌	僻
ok	仗	矢	伊	伏	攸	使	侯	便	俟
ol	介	仲	仰	伸	卸	命	邱	郃	偭
om	仁	丘	伍	企	佐	但	低	俎	缸
on	乞	仃	仇	今	伉	佇	佛	例	侈
